"sample_id","genotype","utilization_of_fruit","berry_skin_colour_oiv_225","presence_of_seeds_oiv_241","berry_flavour_oiv_236","sex_of_flower_oiv_151","time_of_bud_burst_day_chasselas_oiv_301","time_of_full_bloom_day_chasselas_oiv_302","time_of_veraison_week_chasselas_oiv_303","time_of_maturity_week_chasselas_oiv_304","fertility_inflorescence_10_buds_oiv_155","bunch_weight_g_oiv_502","berry_weight_g_oiv_503","bunch_susceptibility_to_botrytis_0_to_5_oiv_459","acidity_of_must_g_h2so4_l_oiv_506","acidity_of_wine_g_h2so4_l","wine_alcohol"
"B00FQG6","Catalanesca","table","B","seed","none","H",17,NA,4.7,6.3,9,332,3.4,0,NA,NA,NA
"B00ERCA","Catarratto bianco","wine","B","seed","none","H",20,7,2.7,5.2,14,355,2.5,0,8.2,8,10.9
"B00ER4W","Cayam","wine","B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00FQF9","Argamusa",NA,"N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00F6OS","Cayetana blanca = Jaén blanco","wine","B","seed","none","H",8,6,2.8,4.5,8,630,3.7,1.1,5.5,4.8,8.5
"B00EQXR","Centennial seedless","table","B","seedless","muscat","H",2,7,-0.4,1.6,5,422,3.3,0.1,NA,NA,NA
"B00FQJD","Cercial du Dão","wine","B","seed","none","H",10,NA,1.7,4.3,14,457,2,0.7,5.5,3.7,9.9
"B00ER7C","César","wine","N","seed","none","H",2,-2,1.4,1.9,9,205,2.3,0.4,6.8,3.6,8.2
"B00EQZJ","Chahnani","table","B","seed","none","F",2,NA,3.7,3.7,4,236,4.9,1.3,NA,NA,NA
"B00EQYW","Chami abiad","table","B","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ERCK","Chaouch blanc","table","B","seed","none","F",0,NA,1.6,1.2,15,141,7.1,0.4,NA,NA,NA
"B00FQG9","Chaouch rose","table","Rs","seed","none","F",-1,NA,2,1.2,8,151,5.8,0,NA,NA,NA
"B00ERC8","Chaptal","table","B","seed","none","F",1,6,1,2,10,706,6.2,0.5,4.8,6,11.7
"B00ER5S","Chardonnay","wine","B","seed","none","H",NA,-4,1.5,1.5,19,185,1.7,0.4,6.5,5,10.3
"B00EQVY","Chasselas","wine-table","B","seed","none","H",0,0,0.1,0,20,234,3.1,0.2,3,4.4,9.7
"B00EQUX","Chatus","wine","N","seed","none","H",5,2,2.4,3,14,280,1.6,0.3,7.1,3.7,8.8
"B00ERA1","Chava","wine","N","seed","none","H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00ER5X","Chenin","wine","B","seed","none","H",-1,1,2.8,3.2,15,230,1.6,1,4.6,4.4,10.5
"B00EQZA","Chirai obak","wine","B","seed","none","H",2,NA,3,3,1,NA,NA,0.7,NA,NA,NA
"B001755","Chouchillon","wine","B","seed","none","H",-2.6,-2,2.2,3,13,181,1.8,0,4.5,3.7,11.4
"B00F6OF","Ciliegiolo","wine-table","N","seed","none","H",7,0,0.8,2.6,7,303,3,0.4,5.4,4.1,11.3
"B00ER6A","Cinsaut","wine-table","N","seed","none","H",9,2.4,2.9,3,14,336,4,0.6,5.5,3.2,9.4
"B00F6PA","Clairette","wine-table","B","seed","none","H",8,4,3.8,4,19,223,2.2,0.5,4.6,3,9.5
"B00ERCR","Claverie coulard","wine","B","seed","none","F",3,NA,3,3.5,22,226,2.2,0.3,6.5,5.5,12.3
"B00ER7N","Coada vulpii","table","Rs","seed","none","F",1,NA,2,4,7,413,5.2,0.3,NA,NA,NA
"B00EQU6","Coarna alba","table","B","seed","none","F",3,2,2.8,3.6,17,203,4,0.1,NA,NA,NA
"B00EQTS","Cococciola","wine-table","B","seed","none","H",12,11,3,4.5,14,371,3.5,0,5.4,4.7,11.3
"B00EI5J","Coda di volpe bianca","wine","B","seed","none","H",12,NA,3.3,3.7,5,245,1.7,1,4.9,5,11.4
"B00EQU1","Codivarta","wine","B","seed","none","H",5,1,3.6,4.6,NA,369,2.6,0,NA,NA,NA
"B00FQGX","Cojonata",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B00CW9E","Colorino","wine","N","seed","none","H",-3,NA,2,2,14,322,1.1,0,5.6,3.2,11.5
"B00EQVM","Completer","wine","B","seed","none","H",1,1,0.6,2.3,10,167,2.2,0,NA,NA,NA
"B00FQGZ","Gallura zenni de Damasco (Spain)",NA,"B","seed",NA,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
